# 2024年12月18日 星期三 21时36分54秒

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
0.03586924708 0.01180452943 0.002825973442 0.003464252014 0.003720043269 -0.04051446325 -6.977039521 

# data (target value in first column)
-72009848.99 2.914283681 -0.04790491562 0.03889985505 0 0.038 
-134298922.1 3.084252966 -0.05169729688 0.0401958938 -0.001 0.048 
751381.3306 2.978544247 -0.06192647587 0.0352719185 0.006 0.02 
4680149.377 2.671198671 0.1426603509 -0.07817530014 0.037 -0.001 
-462376.4 3.520721994 0.003830387901 0.0297979346 -0.001 0.048 
32573914.91 2.650917319 0.0911678415 -0.06818549313 0.037 -0.001 
1701080 2.450031353 0.1895793124 -0.07924158211 0 0.035 
6136555.273 2.601884596 0.1702770887 -0.088131609 0.037 -0.001 
160255718 3.069481411 -0.05868133156 0.04168478327 -0.001 0.048 
-1178810.555 2.619816451 0.05998794726 -0.04886643955 0.037 -0.001 
-1861841.775 3.701189765 0.03279857154 0.009540769043 0 0.048 
-90793184.34 3.066758844 -0.05862776698 0.04507730888 -0.001 0.048 
137165.5079 2.679026221 -0.005294386748 -0.02546691682 0.037 -0.001 
44794949.55 2.902194453 -0.04603895967 0.03843649786 0 0.038 
3234605.665 3.087773471 -0.05866063134 0.04275233699 -0.001 0.048 
-23114818.38 3.062736204 -0.07439282352 0.04547045799 -0.001 0.048 
58307892.14 3.090467653 -0.05243660347 0.03859210008 -0.001 0.048 
-5759604.5 3.950558258 0.05440819628 -0.005383400162 0.037 0.047 
-3488249.005 3.078993267 -0.0609983903 0.04522727451 -0.001 0.048 
-802893.7273 3.425960134 -0.01869268513 0.03285222064 -0.001 0.048 
33117586.25 3.054859483 -0.04368659286 0.04296605059 0 0.041 
-19126149.11 2.642979368 0.06975801982 -0.06096885383 0.037 -0.001 
2023153.376 3.077200048 -0.03784802231 0.04521675655 -0.001 0.048 
-25844888.69 3.095937338 -0.03941635294 0.03879068998 -0.001 0.048 
-720117.3562 2.608217442 0.1786755211 -0.0874105215 0.037 -0.001 
3169583.978 3.346427604 -0.01316878484 0.02504565786 -0.001 0.048 
10385991.15 2.665598677 0.006795554715 -0.03221677722 0.037 -0.001 
-20541589.73 2.665273374 0.1125200237 -0.07277098415 0.037 -0.001 
-528621.5053 3.473633059 -0.014001943 0.03297537402 -0.001 0.048 
1288416.946 3.10367605 0.02401001235 0.03698711461 -0.001 0.048 
5206985.13 3.131468059 0.03130300031 0.03789047696 -0.001 0.048 
-2484380.638 2.902194453 -0.04603895967 0.03843649786 0 0.038 
378242.845 2.995825563 -0.0430371985 0.04098242432 0 0.038 
10761657.63 2.995825563 -0.0430371985 0.04098242432 0 0.038 
-16884507.45 3.05603827 -0.04949104375 0.04269565329 0 0.045 
2591848.057 3.425960134 -0.01869268513 0.03285222064 -0.001 0.048 
-653255.3897 3.136445284 0.000563558223 0.03881680511 -0.001 0.048 
-959642.9156 3.102250112 -0.01926134926 0.03822898262 -0.001 0.048 
5443283.135 2.884655196 0.09933240509 0.005828670577 -0.001 0.048 
77164124.59 3.059980606 -0.06800629171 0.04819319505 -0.001 0.048 
-6691733.44 2.59255545 0.1972802596 -0.092693628 0.022 0.002 
-2201962.568 3.957580125 0.06070431257 -0.00778255579 0.038 0.047 
2768057.339 3.189719333 0.01277179808 0.02613196133 -0.001 0.048 
-23946585.73 3.062658991 -0.07195506511 0.04656188859 -0.001 0.048 
-4600635.272 2.649523005 0.1142771704 -0.06720862202 0.037 -0.001 
10663276.88 3.018497746 0.07788713325 0.0197727162 -0.001 0.048 
4865015.739 3.853356489 0.04072576003 -0.002007148678 0.006 0.048 
814165.1852 3.052599619 0.03854811284 0.03147957379 -0.001 0.048 
3532386.185 2.597833984 0.1773565187 -0.09084757864 0.037 -0.001 
-6109028.522 3.950308221 0.04727319135 -0.006647573871 0.037 0.047 
6228935.834 2.59799383 0.1906655211 -0.09317377913 0.037 -0.001 
-1891964.719 3.109866806 -0.03257303748 0.03632693633 -0.001 0.048 
-4209048.132 3.066787505 -0.07221656385 0.04176413108 -0.001 0.048 
1005783.571 2.57681556 0.1677562824 -0.0341290493 -0.001 0.048 
-5604615.963 2.889204782 0.06072043977 0.007799855883 -0.001 0.048 
3081105.481 3.087138393 -0.05756841698 0.04113245788 -0.001 0.048 
7913258.783 3.0576047 -0.05599481813 0.04515199467 0 0.038 
20621473.2 3.07804612 -0.04211531341 0.04026394533 0.004 0.023 
-1045894.502 3.079290994 -0.05381791816 0.04506450119 -0.001 0.048 
2592781.453 2.637787151 0.1582867662 -0.08374158665 0.037 -0.001 
791673.1998 2.830394835 0.1014435464 -0.001096265213 -0.001 0.048 
-2999970.167 3.055390556 -0.05464686048 0.04254144563 -0.001 0.048 
4479984.892 2.639651768 0.03590275169 -0.04637057862 0.037 -0.001 
-725388.2577 3.076105186 -0.05613030557 0.04030740329 -0.001 0.048 
-891104.6865 3.208689589 -0.02748166421 0.02384476098 -0.001 0.048 
-2980506.533 3.114017195 -0.01135087978 0.03625490618 -0.001 0.048 
1040022.936 2.66842978 0.1500040889 -0.07762355389 0.037 -0.001 
-635925.0505 2.642064446 0.1385194033 -0.07700825652 0.037 -0.001 
-525326.037 2.961753265 0.06198370617 0.01768192947 -0.001 0.048 
-1955923.271 3.091689212 -0.04452195789 0.03891899258 -0.001 0.048 
3076187.865 3.061828873 -0.06933674121 0.04663438005 -0.001 0.048 
7391847.288 2.619154327 0.03632823258 -0.04469140752 0.037 -0.001 
2901567.731 3.375734717 0.003369111087 0.02729038784 -0.001 0.048 
5003598.213 3.131468059 0.03130300031 0.03789047696 -0.001 0.048 
-8549846.487 2.730600386 -0.03905386356 0.009585405322 0.037 -0.001 
-248116.7782 3.087068687 -0.05655279237 0.03996922154 -0.001 0.048 
-6704590.912 2.643991625 0.108771033 -0.06259011029 0.037 -0.001 
5841592.22 2.634721519 0.01751351595 -0.03447956987 0.037 -0.001 
1685695.634 3.069405775 -0.06352970544 0.04154425229 -0.001 0.048 
2258972.471 3.072364347 0.03877191141 0.03106996864 -0.001 0.048 
1601624.938 2.607235758 0.1840826018 -0.08637704888 0.037 -0.001 
1342475.364 3.047718592 -0.06633973829 0.04296960281 -0.001 0.048 
255142.3274 3.083065189 -0.05807674024 0.04171046154 -0.001 0.048 
2518682.45 3.052683967 -0.07007343785 0.046547671 -0.001 0.048 
-1595124.569 2.673024851 0.1165571857 -0.07286263966 0.037 -0.001 
-3939015.636 2.636772711 0.09366778468 -0.06160024821 0.037 -0.001 
-1146859.284 2.665273374 0.1125200237 -0.07277098415 0.037 -0.001 
-623513.5148 3.080177363 -0.05344655341 0.04306110304 -0.001 0.048 
-1937819.088 3.964266086 0.05553437462 -0.006055189314 0.038 0.047 
4405732.462 2.9671316 0.07571485326 0.01022812786 -0.001 0.048 
-2782330.424 2.694842893 -0.04578020634 0.01606757096 0.037 -0.001 
730159.3072 2.66842978 0.1500040889 -0.07762355389 0.037 -0.001 
3373764.324 2.667222178 0.003440850392 -0.03090375333 0.037 -0.001 
-1094208.68 2.565049229 0.1658832607 -0.03090433689 -0.001 0.048 
-1850457.591 3.069357258 -0.04835130705 0.04172200807 -0.001 0.048 
-2188925.381 2.86482656 0.08030555794 0.0009407073123 -0.001 0.048 
-6777461.792 2.58539962 0.1759767826 -0.09124129549 0.019 0.005 
26815717.2 4.039439825 0.05182979246 -0.004786722636 0.038 0.047 
-4200644.321 2.930433098 -0.04507788889 0.03898683235 0 0.038 
-570516.221 3.065945369 -0.0543387304 0.04558807681 -0.001 0.048 
