time,x,y,psi,u,v,r,throttle_left,throttle_right
0.0,-180.84160800349042,-208.14948394154055,1.307718337115463,1.4388649175598738,0.0825474062194805,-0.05335612276685099,0.019000000000000017,0.10599999999999998
0.04999995231628418,-180.82658444277808,-208.0778378115274,1.3051002329476644,1.442167559675358,0.07293561284673193,-0.0522985186622423,0.019000000000000017,0.10799999999999998
0.09999990463256836,-180.8118154402006,-208.0073763755529,1.3025207098056166,1.445585774414086,0.08677588947322236,-0.0512933664099569,0.019970431893687725,0.1089704318936877
0.14999985694885254,-180.79640448017312,-207.93593179141604,1.2999497261173565,1.4498689955476802,0.07995853552472068,-0.05108795957115327,0.020000000000000018,0.11099999999999999
0.19999980926513672,-180.78046751584625,-207.86414705722999,1.29741734089513,1.4535493220417544,0.08008399408263428,-0.050187402589020866,0.020000000000000018,0.11099999999999999
0.2499997615814209,-180.76440935944208,-207.79322835988972,1.2949356560679837,1.4573562904692907,0.07299567069020486,-0.04973781279892184,0.020000000000000018,0.11099999999999999
0.2999997138977051,-180.7485118030646,-207.72263739290597,1.292495733663165,1.4604952576848005,0.07024625509538433,-0.04907823138472784,0.020000000000000018,0.11099999999999999
0.34999966621398926,-180.7319388711929,-207.6507640062808,1.2900245133924642,1.4645866707377524,0.06788615570862502,-0.04879978387825986,0.020000000000000018,0.11194203245990457
0.39999961853027344,-180.7150150897965,-207.57885211159743,1.2875482162610166,1.4678131910322667,0.06585345542757262,-0.04870818298525272,0.02099023755287994,0.11399023755287992
0.4499995708465576,-180.69774224411893,-207.50712545766427,1.2850904995449057,1.4728533718913857,0.06657623797614985,-0.04875170314273861,0.02100000000000002,0.11699999999999999
0.4999995231628418,-180.6795520283954,-207.4348971702178,1.2826183953345833,1.4764870750081625,0.06482142406769709,-0.04866703119722187,0.02200000000000002,0.11899378142050462
0.549999475479126,-180.66116646940276,-207.36318673416466,1.280192376561778,1.4795965263030055,0.06788141051780004,-0.04830952715561111,0.02200000000000002,0.119
0.5999994277954102,-180.64269916842431,-207.29177530545272,1.2777651798016496,1.484404977805426,0.06852457941766146,-0.04841342131755139,0.02200000000000002,0.119
0.6499993801116943,-180.62386731611997,-207.22012645735845,1.2753655068313923,1.4879838329384132,0.07287380073543821,-0.04819456296754636,0.02200000000000002,0.119
0.6999993324279785,-180.60418944711782,-207.14728945156313,1.2729432184408507,1.493488124240687,0.06675623142646511,-0.048107438362899664,0.02200000000000002,0.119
0.7499992847442627,-180.5840677514146,-207.07431428787183,1.2705913123134298,1.4976907082049968,0.06136417415972005,-0.047407899280214064,0.02200000000000002,0.11903446291100078
0.7999992370605469,-180.56410461985095,-207.00180209707148,1.2682191038865445,1.5046754541060132,0.06836604093323681,-0.04697378194112503,0.02200000000000002,0.11996710667142348
0.849999189376831,-180.54347915191954,-206.92774338693638,1.2658298472098468,1.5109931360143056,0.0552072824200308,-0.04723650699532247,0.02200000000000002,0.12
0.8999991416931152,-180.52251271164516,-206.85441362241906,1.2634812880349644,1.517840810298552,0.06158884300579844,-0.04672861576003613,0.02200000000000002,0.12
0.9499990940093994,-180.5011860770642,-206.7804886869717,1.2611566432568442,1.524613561502872,0.06188773815348823,-0.04643178442540457,0.02200000000000002,0.12
0.9999990463256836,-180.47959188834128,-206.70601496998154,1.2588238593103418,1.5315186773270617,0.06680626162621472,-0.045941208086457595,0.02200000000000002,0.11999788558206335
1.0499989986419678,-180.45804641972583,-206.6320687186081,1.256510564160699,1.538546700274174,0.06351237540649576,-0.045899296790151006,0.02200000000000002,0.119
1.099998950958252,-180.43591848275304,-206.55742838431968,1.2542223959944607,1.546391309532828,0.06050076485191504,-0.04574379896682469,0.02200000000000002,0.119
1.1499989032745361,-180.41337911779985,-206.48172376926615,1.2519010739213716,1.5538144456132719,0.06662243880972749,-0.04539027650604217,0.02200000000000002,0.119
1.1999988555908203,-180.39067554269982,-206.40635728641433,1.2496481509470847,1.56223015612214,0.0657792226457809,-0.04505439487723063,0.02200000000000002,0.119
1.2499988079071045,-180.3676605053974,-206.33069468514591,1.2474501166329823,1.5704955532151337,0.06112289240023459,-0.044197268632212384,0.02200000000000002,0.119
1.2999987602233887,-180.34446771591442,-206.253679180213,1.2452359847222418,1.5793999110981922,0.06077564504401373,-0.04368384450624657,0.02200000000000002,0.12
1.3499987125396729,-180.3211173690056,-206.1769392842553,1.243099578378963,1.5884051457664978,0.05715773571897237,-0.043039570739423244,0.02200000000000002,0.12
1.399998664855957,-180.29748844996212,-206.100134241998,1.2410229354162141,1.594744331392032,0.058544260815960696,-0.04187247066213124,0.02200000000000002,0.12
1.4499986171722412,-180.27330753406466,-206.02223768080466,1.2389802568622315,1.6017857677209744,0.05354639286809667,-0.04069694423225908,0.02200000000000002,0.12
1.4999985694885254,-180.24955759861638,-205.9452190534811,1.2369887010680667,1.609017236099476,0.05520113044499888,-0.03988069203955321,0.02200000000000002,0.12099219029877481
1.5499985218048096,-180.2253418861517,-205.86713411718492,1.23500395742704,1.6157022887529835,0.05994818792928522,-0.0392063244267086,0.02200000000000002,0.121
1.5999984741210938,-180.20130408602196,-205.79036223548974,1.2331122333168536,1.6218252523732042,0.06373227653966856,-0.038396754667702884,0.02200000000000002,0.121
1.649998426437378,-180.17578917208792,-205.71020446935202,1.231250740337782,1.6280562922842177,0.06370764782759052,-0.037261131205336646,0.02200000000000002,0.12
1.699998378753662,-180.15064123269565,-205.63133012977738,1.229428985022913,1.6351266883478286,0.06212084130518651,-0.036327389018963784,0.02200000000000002,0.12
1.7499983310699463,-180.12525658407063,-205.55224338619317,1.2276227945963933,1.6424645401548985,0.06197618423568214,-0.03586888507430643,0.02200000000000002,0.12001445066398107
1.7999982833862305,-180.09931809113456,-205.47254258592497,1.2258612257584178,1.6489116090179397,0.05367735448489725,-0.035224444266804954,0.02200000000000002,0.12000560193796772
1.8499982357025146,-180.07332103365664,-205.39323187389638,1.2241187531525966,1.655255670014173,0.04953296030116805,-0.03456529104008908,0.02200000000000002,0.12
1.8999981880187988,-180.0475838521144,-205.31335629708073,1.2224352347972265,1.6619271644702556,0.05577496422067271,-0.0337593983990181,0.02200000000000002,0.12
1.949998140335083,-180.0211470487195,-205.2324745458017,1.2207506860677486,1.6693962432946456,0.04847087154224026,-0.03319516305593318,0.02200000000000002,0.121
1.9999980926513672,-179.99518140955914,-205.1538170242276,1.2191156851967602,1.6761872803831965,0.05488238226174229,-0.032768684824377586,0.02200000000000002,0.121
2.0499980449676514,-179.96769885203028,-205.07194456093458,1.217474882488567,1.6829597968226253,0.04857743693644305,-0.03225907317554043,0.02300000000000002,0.123
