time,u,v,r,throttle_left,throttle_right
1733714788.7466788,0.6260480779155922,0.0031216417061812217,-0.06921236962080002,0.3759999999999999,0.29400000000000004
1733714788.8466787,0.644537637738186,0.006938127271866598,-0.07073917181090549,0.3779999999999999,0.29400000000000004
1733714788.9466786,0.6603486464396509,0.00877082420249643,-0.07155109110414193,0.3879999999999999,0.29400000000000004
1733714789.0466785,0.6778148255556015,0.009326285107515245,-0.06915790603450998,0.3899999999999999,0.28600000000000003
1733714789.1466784,0.6905282633688025,0.007266857880943504,-0.0709737736391463,0.3879431400912428,0.28800000000000003
1733714789.2466784,0.7062654573062235,0.001183116332910876,-0.08418356810560118,0.3899999999999999,0.28001554327590794
1733714789.3466783,0.7204401360972976,-0.0035198940474361904,-0.11084912408401373,0.3899999999999999,0.276
1733714789.4466782,0.7326644989345834,-0.0018108947548624937,-0.13449235098657294,0.3879999999999999,0.28400000000000003
1733714789.546678,0.7407206263395153,0.002146760947948478,-0.1413118265606379,0.3879999999999999,0.28400000000000003
1733714789.646678,0.7511254902343603,0.009740360804245713,-0.1495078910616597,0.3919999999999999,0.28200000000000003
1733714789.7466779,0.7615918598511818,0.015468603886389145,-0.16095797113451518,0.4019196300231235,0.2839598150115618
1733714789.8466778,0.7769909795607364,0.020788931580031922,-0.161976718608704,0.3879999999999999,0.29600000000000004
1733714789.9466777,0.7895615348081616,0.022933070256909452,-0.14723099290484368,0.4018943561773772,0.30000000000000004
1733714790.0466776,0.8117794853842135,0.022546871159372893,-0.11891188291122701,0.3959999999999999,0.30600000000000005
1733714790.1466775,0.8278812288014237,0.018792289881375025,-0.10292242856293206,0.3981182231158772,0.3118817768841228
1733714790.2466774,0.8433744080044971,0.012902465627519236,-0.09830893284062459,0.4039999999999999,0.30201817220026766
1733714790.3466773,0.8518006004536781,0.007608070284547107,-0.10018823124762502,0.4079426108374383,0.30200000000000005
1733714790.4466772,0.8595695889436126,0.0020227194349310626,-0.10183058172470026,0.4119999999999999,0.30000000000000004
1733714790.546677,0.8665928830619316,-0.0019833418695715784,-0.10560801290767786,0.4159999999999999,0.29800000000000004
1733714790.646677,0.8728640264785602,-0.005301943796350175,-0.11536805882279232,0.4159999999999999,0.2999958204001353
1733714790.746677,0.8806190954712155,-0.009440082712202163,-0.12334609223660764,0.4059999999999999,0.30800000000000005
1733714790.8466768,0.8879412099439276,-0.011424805716046128,-0.1165929115527959,0.4079999999999999,0.30800000000000005
1733714790.9466767,0.8962692223318353,-0.013015378377413586,-0.10440261192683668,0.4139999999999999,0.30800000000000005
1733714791.0466766,0.902620729651487,-0.013775096420452593,-0.10896540412273652,0.4157108294096341,0.31000000000000005
1733714791.1466765,0.9076075737701097,-0.012917390855385548,-0.12469822502140589,0.4059999999999999,0.30400000000000005
1733714791.2466764,0.9105326754372188,-0.010293067689498723,-0.13027968340362353,0.4179999999999999,0.29600000000000004
1733714791.3466763,0.9147494568639457,-0.008311141894082885,-0.1294862806317186,0.41409076823757257,0.3058184635248548
1733714791.4466763,0.9200699285578661,-0.006409237596690118,-0.11949777409132746,0.4179532330336211,0.31800000000000006
1733714791.5466762,0.9262187505500727,-0.005811618634841168,-0.10694375580212966,0.42999999999999994,0.30600000000000005
1733714791.646676,0.9344691884508336,-0.006922397853913538,-0.10408784391936286,0.4139999999999999,0.3100605208424877
1733714791.746676,0.9413472714366101,-0.010616040685042785,-0.11294615882040193,0.4020142235505258,0.31099288822473714
1733714791.8466759,0.9429445149373151,-0.01145916318850237,-0.11484483577070692,0.3954888842693864,0.3165555786530676
1733714791.9466758,0.9435097725312669,-0.012558870198248837,-0.10778632695503317,0.39468897504896555,0.3205551247551717
1733714792.0466757,0.9470195649015163,-0.013664047552357991,-0.10005774840166294,0.39388906582854477,0.32455467085727585
1733714792.1466756,0.9492475875058521,-0.014850945044247795,-0.09343172677061481,0.39308915660812394,0.32855421695938003
1733714792.2466755,0.9513060561301212,-0.01627617983412731,-0.09095161383028418,0.3922892473877031,0.33255376306148415
1733714792.3466754,0.9537870201068093,-0.01845988223595177,-0.09200360834659137,0.39097843523727716,0.3319568704745546
1733714792.4466753,0.9541486797585572,-0.021778817133959107,-0.09024512168672635,0.3893782391376192,0.32875647827523874
1733714792.5466752,0.9515340954587207,-0.02400609911126607,-0.08115296194102768,0.3877780430379613,0.32555608607592285
1733714792.646675,0.9471710686552383,-0.025562088592903476,-0.06969621156851535,0.38617784693830337,0.322355693876607
1733714792.746675,0.9451166742778481,-0.02650126351502725,-0.07064847376214341,0.3845776508386455,0.31915530167729117
1733714792.846675,0.9447631447562758,-0.02549354633783738,-0.07699490599138498,0.38629985817699025,0.3177444602025567
1733714792.9466748,0.9459783314262544,-0.02545109766945045,-0.08094075123938284,0.3898989400219765,0.3173445622197804
1733714793.0466747,0.9495263955983011,-0.02763752536279596,-0.07688684637440302,0.39349802186696275,0.3169446642370042
1733714793.1466746,0.953789542423051,-0.030659769121919193,-0.07752155217159151,0.39709710371194906,0.31654476625422795
1733714793.2466745,0.9604277286256938,-0.0350851866703179,-0.08168446618915887,0.4006961855569353,0.31614486827145166
1733714793.3466744,0.9608517161344374,-0.03719121091989309,-0.08588355338486355,0.41041546295334086,0.3190601683466695
1733714793.4466743,0.9612952546603626,-0.036076607569139045,-0.09391578789869394,0.4236112848898901,0.3238586490508692
1733714793.5466743,0.9619841370081306,-0.035537102169840545,-0.09971879195353224,0.4368071068264393,0.32865712975506894
1733714793.6466742,0.9635227604495943,-0.03566363533283804,-0.1044897648745194,0.4500029287629885,0.33345561045926864
1733714793.746674,0.9681892702794355,-0.03709141535713275,-0.1122691872949746,0.4631987506995377,0.33825409116346833
1733714793.846674,0.9798065581538532,-0.03986777466505377,-0.11625185177682658,0.44076931807776826,0.3542515718471494
1733714793.9466739,0.9885879753534668,-0.04143195661131632,-0.11408554781736882,0.3979641336527896,0.3766542851910634
1733714794.0466738,0.9931451647889357,-0.04016293742370538,-0.10077041173767408,0.355158949227811,0.39905699853497745
1733714794.1466737,0.9940234862460765,-0.04046469890165223,-0.09319486306590678,0.3123537648028324,0.4214597118788914
1733714794.2466736,0.9850993805693026,-0.03774544708642083,-0.07740683520648664,0.26954858037785373,0.4438624252228055
1733714794.3466735,0.9743486415129977,-0.03748249081750336,-0.04119843245774345,0.17224457471993287,0.4683001470963373
1733714794.4466734,0.9539596803846944,-0.037664595920601354,0.018386657493393497,0.043851615318045184,0.4938987433633804
1733714794.5466733,0.9373882148191017,-0.040630777530504585,0.09532106679205932,-0.0845413440838425,0.5194973396304234
1733714794.6466732,0.9163159820482121,-0.04736584039740944,0.16681688006444134,-0.21293430348573023,0.5450959358974665
1733714794.746673,0.8844110968644726,-0.0529572012925946,0.22476399092542254,-0.34132726288761794,0.5706945321645096
1733714794.846673,0.8380237044823452,-0.06683487115298548,0.3562235760612358,-0.3831647020299684,0.5794910212663126
1733714794.946673,0.8058532673004254,-0.08384670599763742,0.45739830948336263,-0.37556782822604057,0.5786913503395833
1733714795.0466728,0.7706447347046258,-0.11186628575446009,0.5680846483104397,-0.36797095442211275,0.577891679412854
1733714795.1466727,0.7541727891958382,-0.12443334661714266,0.6165672750082141,-0.36037408061818493,0.5770920084861249
1733714795.2466726,0.7281380545235673,-0.1436068482698199,0.6755069356876949,-0.35277720681425706,0.5762923375593956
1733714795.3466725,0.6943758300481389,-0.1542374425787177,0.6952928068860883,-0.2517812757665773,0.5706703017857834
1733714795.4466724,0.6643558468086267,-0.1633358334480299,0.6981856216925116,-0.09696658529455388,0.5622695046283867
1733714795.5466723,0.6462692227527864,-0.16754207210895447,0.6899281477801887,0.05784810517746952,0.55386870747099
1733714795.6466722,0.629031610384393,-0.1741008471138869,0.6589672323182015,0.21266279564949297,0.5454679103135934
1733714795.7466722,0.6302684814081438,-0.17861822253662515,0.6200523551159779,0.3674774861215163,0.5370671131561968
1733714795.846672,0.6442332556214123,-0.1727743483096612,0.5153655395449627,0.42679410896413245,0.5332379702825093
1733714795.946672,0.6559891359741424,-0.16292410014904365,0.4186622865592802,0.4311949588528886,0.5320377384946667
1733714796.0466719,0.6684537369173174,-0.14031775895219017,0.31032387719971544,0.4355958087416447,0.5308375067068242
1733714796.1466718,0.6853095970237332,-0.11500227984548086,0.22674118672872945,0.4399966586304009,0.5296372749189816
1733714796.2466717,0.694996027314764,-0.10103150119767072,0.2040428161245373,0.44439750851915705,0.528437043131139
1733714796.3466716,0.7121777194965139,-0.08450952443172662,0.16668828764216664,0.45490031474335685,0.5285085894139061
1733714796.4466715,0.7281221817795442,-0.06602662275182257,0.13839368097580676,0.4688974314234199,0.5293084246527668
1733714796.5466714,0.7498234004485603,-0.05301612535203069,0.11353761830945229,0.482894548103483,0.5301082598916276
1733714796.6466713,0.7702872783308908,-0.04295483723749204,0.08590140961835241,0.496891664783546,0.5309080951304884
1733714796.7466712,0.7951744469743377,-0.03075972635740088,0.04428644270940674,0.510888781463609,0.5317079303693492
1733714796.846671,0.812391539251749,-0.020981980732116347,0.033562895672115206,0.5154918285973566,0.5314918285973567
1733714796.946671,0.8307829990463061,-0.014798634501816212,0.0412466059194571,0.5146913541488244,0.5306913541488244
1733714797.046671,0.8509994779163533,-0.011487437107939778,0.04115358106932074,0.513890879700292,0.529890879700292
1733714797.1466708,0.8711967428522889,-0.01555443312394681,0.019779485105543428,0.5130904052517598,0.5290904052517598
1733714797.2466707,0.8904386569396093,-0.01579132967189699,0.0017415734621619241,0.5122899308032275,0.5282899308032275
1733714797.3466706,0.9097057430207098,-0.011419625643711432,-0.0010378735625812467,0.5127644309695228,0.5295288619390457
1733714797.4466705,0.9249597054593762,-0.005869897892286385,0.007988357441190995,0.5139629719060267,0.5319259438120535
1733714797.5466704,0.9391507516351401,-0.00480040821450401,0.005807263901216809,0.5151615128425306,0.5343230256850612
1733714797.6466703,0.9605581435210336,-0.006984029117041942,-0.009095673320316506,0.5163600537790345,0.536720107558069
1733714797.7466702,0.9764875885931465,-0.009015773081033043,-0.010547494475320964,0.5175585947155383,0.5391171894310767
1733714797.8466702,0.9924050554769067,-0.012089467012123694,-0.005480223986305526,0.5195171796430559,0.5417700429168986
1733714797.94667,1.00538833096777,-0.012387861719066657,-0.01105294408711333,0.5219188653982149,0.5445720096312506
1733714798.04667,1.0158526226351783,-0.009362569955287618,-0.019911578692185548,0.5243205511533737,0.5473739763456028
1733714798.1466699,1.0291093963636881,-0.0009052265099426561,-0.02209944193963922,0.5267222369085327,0.5501759430599549
1733714798.2466698,1.0401632558410738,0.0028058198086884493,-0.01804010759740191,0.5291239226636917,0.5529779097743069
1733714798.3466697,1.048073049871121,0.002655036542345157,-0.014425256437945365,0.5561664747743895,0.5672102591094006
1733714798.4466696,1.057114500802446,1.63319533470738e-05,-0.013444983870970633,0.5973589911186057,0.5880064809530825
1733714798.5466695,1.0686020170254567,8.78660739720606e-05,-0.007646471497943918,0.6385515074628217,0.6088027027967644
1733714798.6466694,1.0852254359916655,3.290641939983439e-05,-0.004641247395133517,0.6797440238070379,0.6295989246404463
1733714798.7466693,1.120038721261339,0.0008396075907448146,-0.019894549146982004,0.720936540151254,0.6503951464841282
1733714798.8466692,1.1721072246032844,0.005039000534594732,-0.05140416666408995,0.749696443220564,0.68869017832756
1733714798.946669,1.2512533216725408,0.014822396045610139,-0.05612151857363288,0.771288916768873,0.7370733135006227
1733714799.046669,1.3268530080191414,0.01773711399823575,-0.04009962207674013,0.792881390317182,0.7854564486736855
1733714799.146669,1.4174823775370993,0.013991374532020403,-0.025419000111986292,0.814473863865491,0.8338395838467482
1733714799.2466688,1.4710080732668445,0.010035246912686216,-0.0035585468725015967,0.8360663374138,0.8822227190198109
1733714799.3466687,1.526516504248462,0.003428274021340363,0.012464679906780273,0.8510850178103945,0.8999999999999999
1733714799.4466686,1.559318027003541,5.799965161102955e-05,0.011790889931107447,0.8622853382544383,0.8999999999999999
1733714799.5466685,1.611057945131242,-0.0018856218065790092,-0.017516948142055518,0.8734856586984822,0.8999999999999999
1733714799.6466684,1.6476610410596508,-0.0042240042750070865,-0.05570991235270075,0.884685979142526,0.8999999999999999
1733714799.7466683,1.664491709609564,-0.00746161545784862,-0.0645296692570823,0.8958862995865698,0.8999999999999999
1733714799.8466682,1.6695228637770796,-0.011358407201905965,-0.058482100035850124,0.8999999999999999,0.8999999999999999
1733714799.9466681,1.6772581900042667,-0.017551276494947685,-0.04074907887511661,0.8999999999999999,0.8999999999999999
1733714800.046668,1.6825021084777956,-0.028543453454733646,-0.011301221831643045,0.8999999999999999,0.8999999999999999
1733714800.146668,1.6811068352754588,-0.04321398515476841,-0.01208686916602736,0.8999999999999999,0.8999999999999999
1733714800.2466679,1.6776407973429024,-0.05242380730802509,-0.02119285531423505,0.8999999999999999,0.8999999999999999
1733714800.3466678,1.6676702663214502,-0.05936890271003047,-0.032746722058589445,0.8655186593491252,0.8875765757949053
1733714800.4466677,1.6562314998804801,-0.05335334558583446,-0.03926518971280113,0.8111305372595832,0.8679808553361733
1733714800.5466676,1.642558876385512,-0.047447415637365986,-0.03667139880821263,0.7567424151700413,0.8483851348774414
1733714800.6466675,1.6239928620740107,-0.041844207936108255,-0.02412050994828399,0.7023542930804992,0.8287894144187093
1733714800.7466674,1.598753165289757,-0.04468847926002573,-0.014180243210060124,0.6479661709909572,0.8091936939599773
1733714800.8466673,1.5012457294461254,-0.05491701644675633,0.03366324216992541,0.509756956350673,0.7561713256948005
1733714800.9466672,1.3762031154978687,-0.07241921676739395,0.08367789577415938,0.3229280030522337,0.6837601039667116
1733714801.046667,1.1831656694447503,-0.09247432614373964,0.09282100694763898,0.1360990497537944,0.6113488822386226
1733714801.146667,1.0692577240924968,-0.09762236798121375,0.04594429739741094,-0.050729903544644905,0.5389376605105338
1733714801.246667,0.9899224120449356,-0.09349317741236847,0.05551677015443889,-0.2375588568430842,0.4665264387824448
1733714801.3466668,0.9449709450746214,-0.09155069338581193,0.1128410669361645,-0.2912977668499609,0.4308744759758377
